threshold,precision,recall,f1,f2,model
0.41000000000000003,0.7944862155388471,0.8661202185792349,0.8287581699346406,0.8507783145464305,xgboost
0.42000000000000004,0.797979797979798,0.8633879781420765,0.8293963254593176,0.8494623655913979,xgboost
0.43000000000000005,0.7969543147208121,0.8579234972677595,0.8263157894736842,0.844994617868676,xgboost
0.43999999999999995,0.8020565552699229,0.8524590163934426,0.8264900662251655,0.8418780356179169,xgboost
0.44999999999999996,0.8041237113402062,0.8524590163934426,0.8275862068965517,0.8423326133909287,xgboost
0.45999999999999996,0.805699481865285,0.8497267759562842,0.8271276595744681,0.8405405405405405,xgboost
0.47,0.8115183246073299,0.8469945355191257,0.8288770053475936,0.8396533044420368,xgboost
0.48,0.8153034300791556,0.8442622950819673,0.8295302013422818,0.8383071079761258,xgboost
0.49,0.8148148148148148,0.8415300546448088,0.8279569892473119,0.8360477741585234,xgboost
0.5,0.8143236074270557,0.8387978142076503,0.8263795423956931,0.8337859858772406,xgboost
0.51,0.8150134048257373,0.8306010928961749,0.8227334235453315,0.8274360370168753,xgboost
0.52,0.8157181571815718,0.8224043715846995,0.819047619047619,0.8210583742498636,xgboost
0.53,0.8254847645429363,0.8142076502732241,0.8198074277854195,0.8164383561643835,xgboost
0.54,0.8277777777777777,0.8142076502732241,0.8209366391184573,0.8168859649122807,xgboost
0.55,0.828169014084507,0.8032786885245902,0.8155339805825242,0.8081363386476086,xgboost
0.56,0.8305084745762712,0.8032786885245902,0.8166666666666667,0.8085808580858086,xgboost
0.57,0.830945558739255,0.7923497267759563,0.8111888111888111,0.7997793712079426,xgboost
0.58,0.8304597701149425,0.7896174863387978,0.8095238095238095,0.7974613686534217,xgboost
0.59,0.8343023255813954,0.7841530054644809,0.8084507042253521,0.7936946902654868,xgboost
0.6,0.8362573099415205,0.7814207650273224,0.807909604519774,0.7918050941306756,xgboost
0.61,0.8407079646017699,0.7786885245901639,0.8085106382978723,0.7903494176372712,xgboost
0.62,0.844776119402985,0.773224043715847,0.8074179743223966,0.7865480822679266,xgboost
0.63,0.8480243161094225,0.7622950819672131,0.8028776978417266,0.7780256553262688,xgboost
0.64,0.8470948012232415,0.7568306010928961,0.7994227994227994,0.7733109994416527,xgboost
0.65,0.8470948012232415,0.7568306010928961,0.7994227994227994,0.7733109994416527,xgboost
